cfg_enable_buy_momentum,cfg_enable_sell_time_stop,error,passed_constraints,run_id,stage_name,status,summary_available_signal_days,summary_avg_holding_days,summary_benchmark_return,summary_buy_count,summary_buy_execution_blocked,summary_buy_execution_blocked_breakdown,summary_end_date,summary_excess_return,summary_final_nav,summary_initial_capital,summary_market_filter_blocked_buy_signals,summary_market_filter_blocked_days,summary_market_score_filter_min_avg,summary_market_score_filter_min_ma5,summary_max_drawdown,summary_run_id,summary_selected_buy_signal_count,summary_sell_count,summary_sell_execution_deferred,summary_sell_execution_deferred_breakdown,summary_signal_count,summary_start_date,summary_total_return,summary_trade_count,summary_win_rate,trial_id
True,True,,0,138,toggle-smoke,completed,114,5.62,0.01845,13,0,{},2026-03-19,-0.063592,954857.748,1000000.0,23,7,41.0,41.0,0.079058,138,15,13,0,{},42,2025-10-09,-0.045142,26,0.230769,1
True,False,,0,139,toggle-smoke,completed,114,5.62,0.01845,13,0,{},2026-03-19,-0.063592,954857.748,1000000.0,23,7,41.0,41.0,0.079058,139,15,13,0,{},42,2025-10-09,-0.045142,26,0.230769,2
False,True,,0,140,toggle-smoke,completed,114,10.0,0.01845,1,0,{},2026-03-19,-0.031833,986617.272,1000000.0,5,3,41.0,41.0,0.013537,140,1,1,0,{},2,2025-10-09,-0.013383,2,0.0,3
False,False,,0,141,toggle-smoke,completed,114,10.0,0.01845,1,0,{},2026-03-19,-0.031833,986617.272,1000000.0,5,3,41.0,41.0,0.013537,141,1,1,0,{},2,2025-10-09,-0.013383,2,0.0,4
